成立以来日期,成立以来基金区间收益率,成立以来拟合指数区间收益率
2008-12-26,3.25294e-05,-0.000623332418685985
2008-12-29,0.0001137232,-0.000582458767186625
2008-12-30,0.0001407875,-0.00243750605705424
2008-12-31,0.00016785165,-0.00379176404659048
2009-01-05,0.0003030954,0.00428203070242869
2009-01-06,0.00035898365,0.011093708408585
2009-01-07,0.00035793025,0.0105495084392256
2009-01-08,0.0008234231,0.0062341178994157
2009-01-09,0.00094807335,0.00956489431448894
2009-01-12,0.00055665335,0.00875448883182327
2009-01-13,9.942435e-05,0.0015719719504493
2009-01-14,-0.00073878035,0.00550184287612382
2009-01-15,-0.00149433535,0.00182681453423842
2009-01-16,-0.0018325756,0.00320152279247795
2009-01-19,-0.00190150945,0.0053392945937521
2009-01-20,-0.0016807604,0.00206134081106582
2009-01-21,-0.00191864525,-2.99381633331129e-05
2009-01-22,-0.0016748403,0.00438213308497234
2009-01-23,-0.0012788579,0.00420961350742658
2009-02-02,-0.00103023915,0.00512336153371022
2009-02-03,-0.0012185573,0.00744281506749482
2009-02-04,-0.0012604849,0.00877586908723664
2009-02-05,-0.001349995240586,0.00278519484364371
2009-02-06,-0.001167436292195,0.013353071494487
2009-02-09,-0.000847567891267,0.0187210022964173
2009-02-10,-0.000452421018905,0.0220743623571235
2009-02-11,-0.000328074086528,0.0229312264134242
2009-02-12,-0.00013204226503,0.0250235036351642
2009-02-13,-0.000326154297987,0.0320299521497128
2009-02-16,-0.000205942880943,0.0380599371864193
2009-02-17,-0.000328266490114,0.0297518560531909
2009-02-18,-3.3453578224e-05,0.020510738925542
2009-02-19,0.00128737945112,0.0231688229915086
2009-02-20,0.00144025837873,0.0259681153036023
2009-02-23,0.00200173721433,0.0301794897215769
2009-02-24,0.0020064669297,0.0212741972076051
2009-02-25,0.00187935826508,0.0220718348193443
2009-02-26,0.00164975175548,0.0148551817125069
2009-02-27,0.00164251534693,0.0110104543624824
2009-03-02,0.00206209842412,0.0120138369780961
2009-03-03,0.00245097272971,0.00972774429094432
2009-03-04,0.00274994074457,0.0217379998824734
2009-03-05,0.00300331985276,0.022339502824052
2009-03-06,0.00283625155418,0.0204381966028148
2009-03-09,0.00238798130468,0.0141828183597696
2009-03-10,0.00293721774069,0.0184435908059018
2009-03-11,0.00303385228564,0.0172780386963377
2009-03-12,0.00288107284525,0.0171052296022987
2009-03-13,0.00270449282393,0.0165748314505168
2009-03-16,0.00284879881139,0.0193328879821099
2009-03-17,0.00360757404548,0.0264407054938066
2009-03-18,0.00389693929505,0.0269339657772542
2009-03-19,0.00473672260998,0.0310777354035062
2009-03-20,0.00475207232373,0.0323767913512982
2009-03-23,0.00510886752245,0.0367732170790362
2009-03-24,0.00531537620765,0.0373994838003084
2009-03-25,0.00367518278181,0.0330351876950295
2009-03-26,0.00540140307145,0.0389941247259642
2009-03-27,0.00565438707896,0.0397078312450327
2009-03-30,0.00587222186696,0.0381554335072474
2009-03-31,0.00623751465338,0.0397819134419713
