基金代码,基金名称,,,,,,,,,,
025001,中国银行企业年金国泰组合,,,,,,,,,,
资产名称,收益贡献,收益金额（万元）,期初持仓,期初市值（万元）,期末持仓,期末市值（万元）,平均持仓,平均市值（万元）,资产收益率,申万行业期末仓位,申万行业增长率
农林牧渔,-3.51568940474137e-05,-21.8694782274513,0.00184457935063173,980.328851082117,0.00132116546559657,810.463866929891,0.001672974104846,926.896426450093,-0.0210146074261263,0.0195098731247211,0.0185627524834814
基础化工,-4.41238282961405e-06,-67.6238739229716,0.0162553867818857,8639.16461079527,0.0159427771050317,9780.03521785281,0.0181806196093218,10078.902860467,-0.000242697054579574,0.0454832655707447,0.0287434343035425
钢铁,1.78606826581269e-06,0.987464120183672,0,0,0,0,5.83595634468206e-07,0.333850618021065,3.06045515134845,0.0115020780715398,0.0381018206633479
有色金属,0.000220828032296657,110.705179599257,0.00139657927297086,742.232614524132,0.00247978714825722,1521.2158761901,0.003057085829652,1699.25315429507,0.0722348159658294,0.0333360378152644,0.0615635697968463
电子,0.00255308518568736,1389.94918837072,0.00763714814339644,4058.87481197034,0.0165706386054993,10165.1944373572,0.0130546135581778,7290.6483563357,0.195569571960866,0.0594923877577891,0.155020506496114
汽车,0.000460375311080269,245.968912580837,0.00392281373500759,2084.83710962723,0.00505390574031987,3100.29901330283,0.00457239090309945,2543.34716906609,0.100685903903841,0.0391286658763814,0.0393156538290931
家用电器,-7.09321381257393e-05,-37.9223,0.000972715551896073,516.964,0.00533953160497215,3275.5151,0.00274879717697913,1550.83965555556,-0.0258047915356535,0.0191696192305899,0.0773846784812312
食品饮料,0.000663718254959132,345.687289497363,0.0100800189558128,5357.17446823507,0.0084052615869607,5156.17535101815,0.0100915268046529,5576.21840586844,0.0657698550285884,0.0816620443748772,0.0440916001271982
纺织服饰,0.000260767925716804,135.018125,0.00200222969977085,1064.11445,0.00119042471993584,730.26146,0.00174495886718569,958.6485106,0.14944072930348,0.00829423230931899,0.0372676727561557
轻工制造,1.37167260148004e-07,0.0775849229319196,0,0,8.04476482385494e-07,0.493503,2.87774581977947e-07,0.167171170508233,0.476648282156189,0.0128289381236812,0.0378132294716207
医药生物,0.00165299994042101,867.425793786884,0.0110254497395741,5859.63757653393,0.0136058478691337,8346.45497783934,0.0183943643997341,10201.1037587939,0.0898644772115587,0.0764108384507529,0.018629671199589
公用事业,0.000648952769890778,347.065876282878,0.00412042697770874,2189.86157664703,0.00496961118854894,3048.5888451457,0.00546782190439591,3035.42772912088,0.1186857913878,0.0355548689296264,0.0153967914633092
交通运输,-1.04765006750665e-05,-5.27072354872294,0.00025803633223978,137.137207480628,0.00014210356746565,87.1728862067541,0.000199004936848204,110.296752943542,-0.052644426017721,0.0379708950688354,0.00669347439101222
房地产,-3.96647389654463e-05,-22.2161473364697,0.00088460802127132,470.137955764243,0.000462015677749622,283.421738246929,0.000780195894316494,432.37760730917,-0.0508394612870854,0.0181381276644661,-0.0611294372178744
商贸零售,0,0,0,0,5.07133680622093e-05,31.1099203355105,1.15621850029315e-06,0.690888227789351,0,0.0149514648936311,-0.051061484473653
社会服务,0.000138428595028283,72.310881,0.000197207821586562,104.809,0.00114284682242627,701.074982,0.00118042218429524,656.153044144444,0.117270411273176,0.00695809406791928,0.0204674326591451
银行,-0.000607064150735041,-332.210334752642,0.0020461059128269,1087.4331093574,0.00749142762016351,4595.5874233524,0.00904997420194394,5002.78351215798,-0.067079102900055,0.0853672243331896,-0.0270437144974068
非银金融,9.70743472147362e-05,25.5605725535596,0.00591139607058973,3141.69846701789,0.00569966900939716,3496.44000381937,0.0074357628924069,4116.04618785925,0.013055062220161,0.0624198973078097,0.0236776365808624
综合,0,0,0,0,0,0,0,0,0,0.00186324850067982,-0.0111047024271233
建筑材料,2.08825311075446e-05,8.496,0.000430956168273173,229.038,0.000387212472400281,237.534,0.000457570265656208,253.5348,0.0456378673941951,0.0120636044546196,0.0191888500448392
建筑装饰,0.000163748333742702,82.5238916320181,0.00275413528231485,1463.72574110826,0.00132973316708037,815.719690410052,0.00202437395373972,1111.02300009219,0.0808883820305048,0.02428193244393,0.111917051662127
电力设备,0.000249264108614133,124.925048881901,0.00854627313067791,4542.04267025004,0.00832032214106475,5104.06957504357,0.00914201271856942,5065.00359543868,0.0272657801173065,0.072982645606233,-0.0035996042039954
机械设备,0.000615458871411284,304.674670856067,0.00781919950795786,4155.62868975679,0.00578672139053971,3549.84195178384,0.00723318698761429,3994.97109329252,0.0850882014339131,0.0408241484416216,0.10090510030456
国防军工,0.000197096386435506,87.8502300997418,0.00691069055254458,3672.78823068243,0.00634622744632433,3893.06878699114,0.00680462464533493,3776.10313334701,0.0289650637189268,0.0242410175005239,0.0386229206426551
计算机,0.00475858524415161,2615.14434157515,0.0195392054557627,10384.3983881447,0.0235757275559447,14462.4392767099,0.0187431386343175,10453.204941678,0.253884119249854,0.0501741614631818,0.36785811098633
传媒,0.000167078575358098,96.1631217480049,0.000117785249090859,62.5987046185447,0.0010828640459585,664.278778775517,0.00026628750296438,155.099555131232,0.627436787299957,0.0204683845905566,0.342447482494165
通信,0.00145708360776744,781.471106273262,0.00673253071025884,3578.10255969889,0.0072576073325183,4452.15126836175,0.00729756258215574,4052.84652583939,0.199667161653447,0.0227527752582269,0.295101943120743
煤炭,0.000149358816704272,80.8705001942866,0.00189289271532659,1006.0057,0.00198737535422912,1219.14775747062,0.00194976827906598,1081.11948583312,0.076603367850369,0.0181467903113932,0.0342415771333625
石油石化,0.000105575826176734,49.40558,0.00199022282567279,1057.73322,0.000411439537851177,252.396,0.0021941202609861,1212.77777822222,0.0481176114427225,0.0303861705774161,0.106276426808502
环保,1.13627825821907e-06,0.641968671636518,1.1562442309789e-05,6.14503018337309,2.26588343148127e-05,13.899974648985,4.65591355963157e-06,2.60463102455515,0.244050548547766,0.00852174879019645,0.0380911474816891
美容护理,0.000306761282691965,155.8654,0.00249559255027713,1326.3194,0.0025168007712065,1543.92174064518,0.00266373717346486,1480.09650499943,0.115161993363236,0.00511481909028257,-0.0163418890423908
