,,,
,,,
,,,
固收资产情况（穿透）,,,
日期,静态收益率(%)-左轴,市值类资产久期-左轴,杠杆比率(%)-右轴
2023/1/1,4.22145491551671,1.34137909561248,112.751545753734
2023/1/2,4.22144324534995,1.34138387853544,112.751954149543
2023/1/3,4.18737196168261,1.33339862534739,113.782495883197
2023/1/4,4.14493251439324,1.32874403953803,113.702941219286
2023/1/5,4.1218294141933,1.32368970995581,113.987912128835
2023/1/6,4.12577909664222,1.33553272098347,115.086566231041
2023/1/7,4.12576326226987,1.33553702024497,115.087946633743
2023/1/8,4.12574743045848,1.33554131841178,115.088077119339
2023/1/9,4.12692861294607,1.33571153357646,115.120179966775
2023/1/10,4.14983144851375,1.341122861416,115.045521107591
2023/1/11,4.16845428399057,1.35365855352103,117.680095777379
2023/1/12,4.16587028835193,1.35070560049498,118.206640998472
2023/1/13,4.17034803853094,1.35619110729771,117.153151566519
2023/1/14,4.17033070882248,1.35606303370967,117.151775939128
2023/1/15,4.17189192362488,1.35776383430186,117.153721344571
2023/1/16,4.19582305033093,1.35165616632919,118.292518868845
2023/1/17,4.20295715433288,1.35147060571181,118.550064891356
2023/1/18,4.20280915544623,1.35057259008481,118.32041838563
2023/1/19,4.19760437743224,1.34794618134435,118.172862319214
2023/1/20,4.18419707771988,1.34494331990747,117.653162587227
2023/1/21,4.20604323388637,1.36579166315517,117.647155489642
2023/1/22,4.19364758000811,1.36579632665926,117.647566478248
2023/1/23,4.19362733938462,1.36601545867856,117.648007648631
2023/1/24,4.19361376420407,1.36600130439544,117.647910221775
2023/1/25,4.19384843245048,1.36611850520083,117.648132493641
2023/1/26,4.19392150111857,1.36624617590001,117.648796326931
2023/1/27,4.19398993731762,1.36613588063729,117.648661901638
2023/1/28,4.19215020021877,1.35359235273872,117.648396443272
2023/1/29,4.18637932300979,1.35201523404275,117.649038846717
2023/1/30,4.18791158456371,1.35985457918777,118.943283328465
2023/1/31,4.19670798524649,1.35709248526669,118.783038927593
2023/2/1,4.19574139850698,1.35407391922471,120.118878649445
2023/2/2,4.1854712805402,1.35296737036907,119.150185519506
2023/2/3,4.17248109734624,1.34979683849528,119.046302726946
2023/2/4,4.17246618871697,1.34980148866928,119.049065802839
2023/2/5,4.17245128250391,1.34980613770989,119.048652543912
2023/2/6,4.1659786728656,1.34537869957407,118.621775900809
2023/2/7,4.16130865450237,1.3429245540194,118.778720154176
2023/2/8,4.14930096849108,1.3419163660911,118.411734999781
2023/2/9,4.12062180766153,1.33600765607373,116.530120904245
2023/2/10,4.10518902708132,1.33308755026782,116.138837986477
2023/2/11,4.10517223336491,1.33309236700432,116.140998419153
2023/2/12,4.10515544237893,1.3330971825998,116.140859921969
2023/2/13,4.09026690963568,1.32580672032659,115.974995056196
2023/2/14,4.07688845414911,1.34514142193528,119.247065567705
2023/2/15,4.06224170632775,1.34229291900397,116.615119051187
2023/2/16,4.04340485811638,1.34005776823781,116.986162157647
2023/2/17,4.02596138090094,1.33945798766612,116.844120970915
2023/2/18,4.0259420955181,1.34018496759646,116.845965934022
2023/2/19,4.02592251590052,1.34019139045219,116.844771094924
2023/2/20,4.02793251885948,1.33058904286574,118.350570317653
2023/2/21,4.05504072445619,1.33848826546461,116.444423327242
2023/2/22,4.04936284933692,1.3383125733062,115.730771924829
2023/2/23,4.04160607592775,1.33726663945871,115.001577170388
2023/2/24,4.039127977006,1.33549085619645,114.981094973244
2023/2/25,4.03910858807225,1.33549619268932,114.980788988739
2023/2/26,4.03948099682224,1.33618783756701,114.98019776154
2023/2/27,4.05011449250546,1.33708927558543,115.415712345519
2023/2/28,4.06381150020902,1.37603005931167,117.921693917752
2023/3/1,4.05914714759505,1.37248312504477,117.768119745488
2023/3/2,4.04819670382618,1.36960561152128,116.939765711534
2023/3/3,4.04621655557762,1.36745099448272,117.353837239409
2023/3/4,4.04608985437704,1.36821654411364,117.348766949878
2023/3/5,4.04723690627536,1.36916978965752,117.351614889143
2023/3/6,4.03092694234004,1.36667587846199,113.816657152702
2023/3/7,4.01553987480034,1.36489285796354,113.863727199353
2023/3/8,3.98578560280562,1.36450427917167,113.59500344562
2023/3/9,3.97339391170288,1.36232064409704,113.917603732631
2023/3/10,3.96928529982178,1.36401733132152,113.988102717878
2023/3/11,3.96954029387252,1.3644207503941,113.953170767896
2023/3/12,3.96952210230294,1.36444855852149,113.952762006587
2023/3/13,3.97134486041669,1.36783390335229,113.727463192074
2023/3/14,3.96632979539278,1.36575834258067,113.68188610365
2023/3/15,3.97027137589736,1.3704957114349,115.066967182403
2023/3/16,3.96819017645125,1.36850401514594,113.672147853179
2023/3/17,3.95398206859178,1.36596709029656,113.627962398472
2023/3/18,3.95448207041578,1.36659695934706,113.62784501545
2023/3/19,3.95445971655878,1.36660110279019,113.628882208486
2023/3/20,3.9428717615196,1.35838088332147,113.589302411668
2023/3/21,3.93952478694607,1.35699573198416,113.644912719345
2023/3/22,3.93117512867567,1.35610748771219,112.47485090825
2023/3/23,3.9238659541974,1.35355201015474,112.310958200927
2023/3/24,3.9285146381454,1.34876021640554,112.159674166908
2023/3/25,3.9288517818793,1.34925254731237,112.155473379741
2023/3/26,3.92861385711746,1.34942788196883,112.158961196781
2023/3/27,3.92309018156694,1.3426858581315,108.790428802208
2023/3/28,3.92068947861221,1.34045071629883,108.686859916316
2023/3/29,3.91589784600248,1.33854509168745,108.634329250988
2023/3/30,3.91863753628653,1.34021740158688,109.256176325055
2023/3/31,3.9015071653954,1.34240946993308,109.04683864277
