可转债正股行业时序图(不穿透),,,,
行业,20230101,202301,202302,202303
银行,0.0119054238402896,0.0131017107191287,0.0122538747239787,0.0128010197114794
交通运输,0.00369018961416038,0.0037271672884159,0.00353018129673999,0.00330658696714821
非银金融,0.00314914164558465,0.00324347876334144,0.00300563678725274,0.00274597205153308
电力设备,0.00150551948315042,0.00159115555130169,0.00144654997301807,0.00132003229207981
有色金属,0.00145776884238759,0.00154968041676147,0.00141476316372293,0.00130678652957145
农林牧渔,0.00136160311600674,0.00141033555755341,0.00131040620040448,0.00122859601344218
医药生物,0.000816528097444531,0.000878063287756476,0.000823280669953089,0.00080345187574133
公用事业,0.000741461775302409,0.000769965816153596,0.000708769780143182,0.000648401623701187
电子,0.000325111714799469,0.000332929028907314,0.000307955926529953,0.0002970689461932
商贸零售,0.000211689746137635,0.000223691253245488,0.00020266882729375,0.000185511484918542
钢铁,0.000132154348432458,0.000138973372533074,0.000133369661815314,0.000122103091093348
汽车,8.92531245644432e-05,,,
