计算方式：,,,,,,
图：国内外股票涨跌幅,,,,,,
,,,,,,
,,,,,,
,,,,,,
图：主要宽基指数区间涨跌幅曲线图,,,,,,
,,,,,,
,,,,,,
,,,,,,
图：区间的板块行业涨跌幅柱状图,,,,,,
,,,,,,
,,,,,,
,,,,,,
申万行业,Q1,Q2,Q3,Q4,本月以来,今年以来
计算机,0.36785811098633,,,,0.147415768296222,0.36785811098633
传媒,0.342447482494165,,,,0.22673257270542,0.342447482494165
通信,0.295101943120743,,,,0.0918062708374416,0.295101943120743
电子,0.155020506496114,,,,0.0585190967704629,0.155020506496114
建筑装饰,0.111917051662127,,,,0.0283312534503635,0.111917051662127
石油石化,0.106276426808502,,,,0.00514552178806882,0.106276426808502
机械设备,0.10090510030456,,,,-0.0289018799149908,0.10090510030456
家用电器,0.0773846784812312,,,,-0.0081531613372093,0.0773846784812312
有色金属,0.0615635697968463,,,,-0.0398475719859255,0.0615635697968463
食品饮料,0.0440916001271982,,,,-0.0174460503909558,0.0440916001271982
汽车,0.0393156538290931,,,,-0.0564373478150791,0.0393156538290931
国防军工,0.0386229206426551,,,,-0.036857827816897,0.0386229206426551
钢铁,0.0381018206633479,,,,-0.0744040189715427,0.0381018206633479
环保,0.0380911474816891,,,,-0.0374620741695619,0.0380911474816891
轻工制造,0.0378132294716207,,,,-0.0735764776311851,0.0378132294716207
纺织服饰,0.0372676727561557,,,,-0.0538073184444973,0.0372676727561557
煤炭,0.0342415771333625,,,,-0.0444597341889444,0.0342415771333625
基础化工,0.0287434343035425,,,,-0.0719742599169459,0.0287434343035425
非银金融,0.0236776365808624,,,,-0.0350590930323332,0.0236776365808624
社会服务,0.0204674326591451,,,,-0.00340261606078207,0.0204674326591451
建筑材料,0.0191888500448392,,,,-0.0651235492410362,0.0191888500448392
医药生物,0.018629671199589,,,,-0.0353405628679242,0.018629671199589
农林牧渔,0.0185627524834814,,,,-0.0195022613858146,0.0185627524834814
公用事业,0.0153967914633092,,,,-0.0170751252674868,0.0153967914633092
交通运输,0.00669347439101222,,,,-0.00802886558420726,0.00669347439101222
电力设备,-0.0035996042039954,,,,-0.0518555012555947,-0.0035996042039954
综合,-0.0111047024271233,,,,-0.0123258963009068,-0.0111047024271233
美容护理,-0.0163418890423908,,,,-0.0466427063259094,-0.0163418890423908
银行,-0.0270437144974068,,,,-0.0212266479797417,-0.0270437144974068
商贸零售,-0.051061484473653,,,,-0.0149761742682097,-0.051061484473653
房地产,-0.0611294372178744,,,,-0.0761176327573915,-0.0611294372178744
