日期,基金区间收益率,拟合指数区间收益率
2023-01-03,0.00188473365737704,0.00237219663936806
2023-01-04,0.00391826207717787,0.00352895386097457
2023-01-05,0.00624938002182631,0.00548285186618793
2023-01-06,0.00689415732566279,0.00507188995668258
2023-01-09,0.00734054161293863,0.00626337304238761
2023-01-10,0.00709255034222786,0.00496555319842656
2023-01-11,0.00704295208808659,0.00430628517339652
2023-01-12,0.00704295208808659,0.00469347276774678
2023-01-13,0.00843170320405095,0.00626601421525633
2023-01-16,0.0106636246404124,0.00739885723209822
2023-01-17,0.0119035809939485,0.00744266693311216
2023-01-18,0.0123995635353657,0.0074404246869687
2023-01-19,0.013689118143043,0.00839276790650357
2023-01-20,0.0151770657672855,0.00983052904873636
2023-01-30,0.017706576728499,0.0108810562448426
2023-01-31,0.0171609959329451,0.0103943603519382
2023-02-01,0.018549747048905,0.0121019921430308
2023-02-02,0.0193433191151697,0.0123196923209518
2023-02-03,0.019392917369311,0.0112537315037763
2023-02-06,0.0183017557781987,0.00975946350621205
2023-02-07,0.0185001487947637,0.01039615753745
2023-02-08,0.0179545679992098,0.00949975351247301
2023-02-09,0.0202856859438582,0.012023265542618
2023-02-10,0.0208312667394122,0.0115450758761259
2023-02-13,0.0222696161095134,0.0132614100977849
2023-02-14,0.023608768971332,0.0139411453399145
2023-02-15,0.0240055550044666,0.0131861381550263
2023-02-16,0.0223192143636546,0.011401403145243
2023-02-17,0.0200376946731475,0.00984498603847819
2023-02-20,0.0226168038885067,0.0135445309893078
2023-02-21,0.0242039480210317,0.0140254867150471
2023-02-22,0.0238567602420428,0.0134195340235579
2023-02-23,0.0238071619879015,0.0131020680325964
2023-02-24,0.022864795159213,0.0118370966579743
2023-02-27,0.0227160003967892,0.0113560457562316
2023-02-28,0.024451939291738,0.0127004836919091
2023-03-01,0.0266342624739626,0.0148768144753531
2023-03-02,0.0266342624739626,0.0146664696260146
2023-03-03,0.0265350659656801,0.0156142993584624
2023-03-06,0.0267830572363864,0.016324784731954
2023-03-07,0.0241543497668904,0.0144416867180831
2023-03-08,0.0232119829382019,0.0144546598798114
2023-03-09,0.0245015375458793,0.0141967228681101
2023-03-10,0.0232119829382019,0.0117987796315601
2023-03-13,0.0246007340541618,0.0143711465833928
2023-03-14,0.023707965479619,0.0131498099636275
2023-03-15,0.0240055550044666,0.0142693649940879
2023-03-16,0.0225176073802197,0.0125830657824235
2023-03-17,0.0227655986509305,0.0144270856774197
2023-03-20,0.0227160003967892,0.0143294188108103
2023-03-21,0.0239559567503253,0.0156558012146326
2023-03-22,0.0255431008828503,0.0160725527568185
2023-03-23,0.0272294415236578,0.0175129373098826
2023-03-24,0.0272790397778036,0.015962259451801
2023-03-27,0.0260886816784087,0.0155714756123492
2023-03-28,0.0249479218331551,0.0152640312659105
2023-03-29,0.0253447078662852,0.015102145239398
2023-03-30,0.0254935026287091,0.01664898649539
2023-03-31,0.0264358694573976,0.0173856433244392
