日期,累计净值,组合收益率,上证指数收益率
2023-01-03,2.25659538921451,0.00188473365737707,0.00882218347649122
2023-01-04,2.26117560757876,0.00391826207717783,0.011089556491868
2023-01-05,2.26642610180119,0.0062493800218264,0.0213508558155664
2023-01-06,2.26787836616058,0.0068941573256629,0.0221343125803772
2023-01-09,2.26888377994786,0.00734054161293862,0.0281059732824507
2023-01-10,2.2683252167327,0.00709255034222789,0.0259768859051877
2023-01-11,2.26821350408967,0.00704295208808636,0.0234942184658651
2023-01-12,2.26821350408967,0.00704295208808636,0.0240164474451938
2023-01-13,2.27134145809453,0.00843170320405062,0.0343279853715031
2023-01-16,2.27636852703089,0.0106636246404124,0.0447789418941036
2023-01-17,2.27916134310665,0.0119035809939485,0.0436955749146097
2023-01-18,2.28027846953696,0.0123995635353655,0.0437477557312387
2023-01-19,2.28318299825575,0.0136891181430427,0.0488860123979935
2023-01-20,2.28653437754666,0.0151770657672849,0.0568278550003867
2023-01-30,2.29223172234121,0.0177065767284985,0.05828587506404
2023-01-31,2.29100288326788,0.0171609959329444,0.0538677266148606
2023-02-01,2.29413083727273,0.0185497470489042,0.0633366997297309
2023-02-02,2.29591823956122,0.0193433191151691,0.0635792175201686
2023-02-03,2.29602995220425,0.0193929173693101,0.0563721144809566
2023-02-06,2.29357227405758,0.0183017557781977,0.048374044782729
2023-02-07,2.2940191246297,0.0185001487947627,0.0514156166760953
2023-02-08,2.29279028555637,0.0179545679992088,0.0462403608322888
2023-02-09,2.2980407797788,0.0202856859438572,0.0586304885713811
2023-02-10,2.29926961885213,0.0208312667394113,0.0554875978467189
2023-02-13,2.30250928550001,0.0222696161095124,0.063090232770789
2023-02-14,2.30552552686183,0.0236087689713309,0.0660432397049135
2023-02-15,2.30641922800608,0.0240055550044653,0.0619028926008405
2023-02-16,2.30262099814304,0.0223192143636535,0.0517184402118056
2023-02-17,2.29748221656364,0.0200376946731462,0.043624198549431
2023-02-20,2.30329127400123,0.0226168038885053,0.0650901952860583
2023-02-21,2.3068660785782,0.0242039480210301,0.070329414711539
2023-02-22,2.30608409007699,0.0238567602420414,0.0653521999571476
2023-02-23,2.30597237743396,0.0238071619879003,0.0641639857908909
2023-02-24,2.30384983721638,0.0228647951592116,0.0575872283113681
2023-02-27,2.30351469928729,0.0227160003967879,0.0546333473809348
2023-02-28,2.30742464179335,0.0244519392917368,0.06161589810938
2023-03-01,2.31233999808669,0.0266342624739613,0.0722147218592522
2023-03-02,2.31233999808669,0.0266342624739613,0.0716663053609079
2023-03-03,2.31211657280063,0.0265350659656789,0.077408493476701
2023-03-06,2.31267513601578,0.0267830572363852,0.0753475454412522
2023-03-07,2.30675436593517,0.024154349766889,0.0633941568944429
2023-03-08,2.30463182571759,0.0232119829382005,0.0627950162399833
2023-03-09,2.30753635443638,0.0245015375458779,0.0604791849848461
2023-03-10,2.30463182571759,0.0232119829382005,0.0455833422000789
2023-03-13,2.30775977972244,0.0246007340541603,0.058084370359625
2023-03-14,2.3057489521479,0.0237079654796175,0.0505151738869059
2023-03-15,2.30641922800608,0.0240055550044651,0.0563426251981092
2023-03-16,2.30306784871516,0.0225176073802182,0.0445522207776818
2023-03-17,2.30362641193032,0.022765598650929,0.0522093348049697
2023-03-20,2.30351469928729,0.0227160003967877,0.0471480221835794
2023-03-21,2.30630751536305,0.0239559567503236,0.0538616733811697
2023-03-22,2.30988231994002,0.0255431008828486,0.0571300958718914
2023-03-23,2.31368054980305,0.0272294415236563,0.0638959926265781
2023-03-24,2.31379226244609,0.0272790397778022,0.0570997325927363
2023-03-27,2.31111115901336,0.0260886816784074,0.0524848378634877
2023-03-28,2.30854176822366,0.0249479218331539,0.0505357937257354
2023-03-29,2.3094354693679,0.0253447078662838,0.0488139562579084
2023-03-30,2.30977060729699,0.0254935026287075,0.0556737590603875
2023-03-31,2.31189314751457,0.0264358694573961,0.0594324934800681
