基金代码,基金名称,,,,,,,,,
025001,中国银行企业年金国泰组合,,,,,,,,,
资产名称,收益贡献,收益金额（万元）,期初持仓,期初市值（万元）,期末持仓,期末市值（万元）,平均持仓,平均市值（万元）,资产收益率,行业增长率
能源,4.67782605402472e-06,2.52834399498222,8.50653732275437e-05,45.2092449015377,6.12130072151292e-05,37.5508835387089,7.51217338187964e-05,41.6193340974901,0.0622699426148531,0.0400816834979693
材料,1.80110818362745e-05,9.49342541168969,0.000298936706582484,158.874313544664,0.000278501135922621,170.845449296007,0.000314997495450492,174.519454181106,0.0571784921988538,0.0503896912582577
工业,3.78131378358765e-05,20.2223510876077,0.00256928702593373,1365.48541398947,0.00221548324863141,1359.0796668254,0.00249420355267832,1381.13690992276,0.0151604057316301,0.0506788969765109
可选消费,2.10050115555489e-06,1.0993384408684,2.61151856902902e-05,13.8792998928402,8.49639533908571e-05,52.1208100029404,6.55807114758014e-05,36.3338295624814,0.0320292523256622,0.0460414489939801
日常消费品,6.66355308135662e-05,36.1338003920976,0.00156798810761207,833.330363109246,0.00139287279335298,854.452450989973,0.00154506091650086,855.86752133941,0.0431280929456667,0.0350493756588229
医疗保健,-1.13551670862639e-07,-0.0598490347906039,9.85068804487694e-06,5.23529317949658,2.0917294849383e-05,12.8316339707598,1.08070406349191e-05,5.98797867837865,-0.0105071938469203,0.0617885950452594
金融,-6.23967004329705e-06,-3.93273413400479,0.00704175048131082,3742.44195923919,0.00867642489629666,5322.51943885327,0.00763376992703487,4234.28806243388,-0.000817377272689259,0.00641272001651526
信息技术,2.73878051899878e-05,15.3826005500541,0.000509198414742623,270.620993738497,0.000557773077831825,342.163746556033,0.000524548302055562,290.594623811631,0.0522121701331649,0.0802364130602198
公用事业,6.46553402899234e-06,3.52711240118161,0.000840185690046831,446.529053866486,0.00074362915817561,456.176443292577,0.000828238533084265,458.561995101915,0.00780636709199635,0.0560640904466344
备注：可转债指数行业不涵盖所有可转债。,,,,,,,,,,
