可转债正股行业时序图(穿透),,,,
行业,20230101,202301,202302,202303
银行,0.0133344664238916,0.0146243628461781,0.0136278124347066,0.0144901786341665
交通运输,0.00407116911693613,0.00409241412458662,0.00385630468579262,0.00366921742310778
非银金融,0.00341975389786972,0.00353046524378286,0.00325463535157001,0.00295147606117261
电力设备,0.00180569886421208,0.00189783156261494,0.00168663874086435,0.00161774296317705
有色金属,0.00163703833410054,0.00172828858682152,0.00157631724220251,0.00144113352302588
农林牧渔,0.00157568424475449,0.00161858367229206,0.00149268834000688,0.00138297016595556
公用事业,0.000893972778516373,0.000918348375048083,0.000868856203172382,0.000793455683380486
医药生物,0.000856511807390131,0.000944907112910652,0.000882135484175872,0.000867223027555665
电子,0.000467676809202136,0.000486127481312129,0.000436142239581617,0.00040839567945692
商贸零售,0.000312080861684714,0.000323114035484459,0.000295096779182612,0.000261680141831595
钢铁,0.000235263354997121,0.000269886224800205,0.000251590204318518,0.0002332052482872
汽车,0.000164368221506151,7.18896432008636e-05,0.000180684499313817,0.000147421518797701
煤炭,0.000112211685425583,0.000108868957468339,9.68400245056753e-05,8.03835044212406e-05
建筑装饰,6.88953913411056e-05,6.66973697781362e-05,5.88888313502807e-05,4.9454404705159e-05
建筑材料,6.74082456725498e-05,6.46298115287623e-05,5.81298724925893e-05,4.78928883301728e-05
基础化工,6.06656081500706e-05,5.99018767668947e-05,5.23003701941947e-05,4.28475738563002e-05
机械设备,3.42187397608317e-05,3.78025491447261e-05,3.06076297779029e-05,2.55363661607935e-05
石油石化,2.82656957039793e-05,2.75499568069143e-05,2.46806948227909e-05,2.07872472141835e-05
轻工制造,2.07810909003561e-05,2.00382749298257e-05,6.89860936610688e-05,5.64046686780817e-05
计算机,9.71152888558819e-06,1.03601486299029e-05,9.36350309757114e-06,8.60787415969252e-06
环保,6.42622281598834e-06,6.21281741727321e-06,5.63804199186334e-06,4.73886037020987e-06
纺织服饰,3.10669039768924e-06,2.25320094397921e-06,4.78625737743106e-05,9.05446441050189e-05
食品饮料,2.87294490264448e-06,2.78603568869227e-06,2.4510408379142e-06,2.00076830573067e-06
国防军工,,,3.75890249200965e-05,2.43929148258349e-05
