,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日期,合计,货币类,稳定类固收,市值类固收,权益类,对冲后权益类,费用,其他,资金提取/追加（万元）
2023-01-01,112.22488314967,7.87216739666265,29.5094276646627,59.1961417773679,15.6471463109763,15.6471463109763,-12.2122493703144,-0.0126337793551217,0
2023-01-02,112.22623414565,7.8721288096422,29.5102330378248,59.1977082981006,15.6461640000824,15.6461640000824,-12.2136033712524,-0.0126307743976278,0
2023-01-03,113.725228156257,8.9003186381956,29.4532106165368,59.1293849567461,16.2423139447782,16.2423139447782,-13.7167911590861,-0.00843699717056434,0
2023-01-04,113.481780264618,6.29886859152369,29.8090390097252,61.1401503157453,16.2337223476236,16.2337223476236,-13.42322405236,-0.0585562122578296,0
2023-01-05,113.454068850438,5.42386568946843,29.7420714274419,61.4999404804744,16.7881912530536,16.7881912530536,-13.4042993217514,-0.0497695286868753,0
2023-01-06,114.800176389567,5.61178248538657,29.7642520014663,62.5216643787378,16.9024775239768,16.9024775239768,-14.7858162555334,-0.0143601340340565,0
2023-01-07,114.801013960297,5.65834074277542,29.7182039497692,62.5231070959847,16.9013621717674,16.9013621717674,-14.7866544208193,-0.0143595394773643,0
2023-01-08,114.801851482031,5.65817377876463,29.7188810557254,62.5245496614667,16.9002469860746,16.9002469860746,-14.7874925370965,-0.0143589449347207,0
2023-01-09,114.943922722938,6.0959988465216,29.6788181638173,61.9426436509415,17.2264620616577,17.2264620616577,-14.9292002579909,-0.0147224649471988,0
2023-01-10,114.463209738387,5.8847199333871,29.5582512816732,62.0972028672367,16.9230356560899,16.9230356560899,-14.463391622466,0.000181884079119417,0
2023-01-11,116.704381238307,7.51261335525653,29.5478175561737,62.9243209490135,16.7196293778629,16.7196293778629,-16.8083284663369,0.103947228030338,0
2023-01-12,117.453550792619,7.79178569740712,29.5493056957476,62.9577333324089,17.1547260670554,17.1547260670554,-17.627481542844,0.173930750224882,0
2023-01-13,116.787194282654,6.4527802750895,29.893501889,63.2982368306889,17.1426752878757,17.1426752878757,-16.8245566088662,0.0373623262121864,-6752.507413
2023-01-14,116.788090759605,6.4612639461514,29.8897401813582,63.2955448383352,17.1415417937602,17.1415417937602,-16.8254532379491,0.0373624783441156,0
2023-01-15,116.743301100328,6.50862460539557,29.8904431873892,63.2038235717589,17.1404097357846,17.1404097357846,-16.8263509299206,0.0830498295922545,0
2023-01-16,118.007800512243,7.40337686269454,29.8194338224649,62.9984477337202,17.7865420933637,17.7865420933637,-18.0491819178367,0.0413814055933662,0
2023-01-17,117.767832888489,6.83305909565232,29.8129821224503,63.3759301790409,17.7458614913454,17.7458614913454,-17.6020398013339,-0.165793087155071,0
2023-01-18,118.102763524381,6.97938964790989,29.7944606306313,63.222082831112,18.1068304147277,18.1068304147277,-17.9563578774807,-0.146405646900274,0
2023-01-19,117.433891440542,6.12856337239552,29.7027468162687,63.0633753183673,18.5392059335102,18.5392059335102,-17.4596176363843,0.0257261958425372,0
2023-01-20,117.433980663538,6.17833969592483,29.666270844099,63.0173630833449,18.5720070401695,18.5720070401695,-17.5318050265576,0.0978243630193857,0
2023-01-21,117.435045967419,7.30544848834601,29.5562145826723,62.0025560102933,18.5708268861076,18.5708268861076,-17.532870840005,0.0978248725857909,0
2023-01-22,117.434841122749,7.89651817361349,28.9702965101108,61.9997321737782,18.5682942652463,18.5682942652463,-17.5326593786944,0.0978182559455747,0
2023-01-23,117.435920050857,7.92823370790101,28.9710668448203,61.9694902629379,18.567129235198,18.567129235198,-17.5337388928009,0.0978188419437383,0
2023-01-24,117.436998896725,7.9775166366557,28.9249160041453,61.9686018861591,18.5659643697649,18.5659643697649,-17.53481832417,0.0978194274450363,0
2023-01-25,117.438077488907,7.99379304128355,28.9256886643425,61.9537962972023,18.5647994860782,18.5647994860782,-17.5358975003875,0.0978200114808599,0
2023-01-26,117.439155999096,8.01917896873523,28.9228375512767,61.9335047120249,18.563634767059,18.563634767059,-17.5369765941163,0.0978205950206362,0
2023-01-27,117.440234426454,8.07018679036713,28.887818091103,61.9197593331324,18.5624702118516,18.5624702118516,-17.5380556045137,0.0978211780594736,0
2023-01-28,117.441307018896,8.09201192117751,28.8886851215279,61.8992468404629,18.5613631357276,18.5613631357276,-17.5391308484573,0.0978238295613562,0
2023-01-29,117.441125304806,8.09109912417858,28.8873649835034,61.9037347863767,18.5589264107469,18.5589264107469,-17.5389448434734,0.0978195386678712,0
2023-01-30,118.609398128939,8.03900943743352,29.3103596760362,62.5511932831903,18.7088357322792,18.7088357322792,-18.7089251069778,0.0995269780386059,0
2023-01-31,118.07771500404,6.23782692433651,30.4696575955466,62.6548659822723,18.7153645018849,18.7153645018849,-18.0443499052593,-0.0333650987809153,0
2023-02-01,120.105791167828,8.56971905363647,30.4239450761891,62.4125150707165,18.6996119672864,18.6996119672864,-20.0715170868449,-0.0342740809834826,0
2023-02-02,118.795924270143,7.5061343823672,30.3958910792108,62.2366044392404,18.6572943693249,18.6572943693249,-18.8332459931105,0.0373217229673031,1.188353
2023-02-03,118.811685251418,7.28290213639456,30.4295681977695,62.3703580470824,18.7288568701711,18.7288568701711,-18.7703078264646,-0.0413774249530242,0
2023-02-04,118.812508717784,7.28265992652298,30.4303203227748,62.3719014988273,18.7276269696587,18.7276269696587,-18.7711385311808,-0.0413701866030091,0
2023-02-05,118.813332137119,7.2824177611145,30.4310723407633,62.3734447850646,18.7263972501761,18.7263972501761,-18.7719691872006,-0.0413629499179677,0
2023-02-06,117.694770559275,5.94639663371127,30.4306848353594,62.0157795426745,19.3019095475297,19.3019095475297,-17.6836799347937,-0.0110906244811025,0
2023-02-07,118.694902056714,6.98792096383301,30.4576219351514,61.9481573008656,19.3012018568636,19.3012018568636,-18.7557891935836,0.0608871368700751,0
2023-02-08,115.910178377619,7.01366877299421,29.6932441491112,60.4467689152518,18.7564965402621,18.7564965402621,-15.919731928249,0.00955355062965568,13655.265826
2023-02-09,116.143859251783,7.4866095329806,29.5357442467108,60.2243143875754,18.8971910845159,18.8971910845159,-16.1589152947222,0.0150560429394132,0
2023-02-10,116.059055110443,7.57997359893601,29.5067061902006,60.2015655000608,18.7708098212454,18.7708098212454,-16.0540777432441,-0.00497736719869487,0
2023-02-11,116.059957921791,7.57983083112506,29.5074599771816,60.2030852478885,18.7695818655957,18.7695818655957,-16.0549835530285,-0.00497436876240987,0
2023-02-12,116.060860672431,7.5796880951951,29.5082136572136,60.2046048293027,18.7683540907196,18.7683540907196,-16.0558893012502,-0.00497137118083738,0
2023-02-13,114.964026567155,6.62112996423505,29.3904136354773,60.0524723576755,18.900010609767,18.900010609767,-14.9605977321814,-0.00342883497358865,0
2023-02-14,119.139721523705,9.87309992526377,29.3147468656857,60.9477525206177,19.0041222121377,19.0041222121377,-19.1383020119879,-0.00141951171699419,0
2023-02-15,116.497614482828,7.28868920732146,29.3078539429845,60.9522585896074,18.9488127429144,18.9488127429144,-16.4903152904156,-0.00729919241214801,0
2023-02-16,116.521066309936,6.90417804663392,29.390704444524,61.1797084427063,19.0464753760717,19.0464753760717,-16.6028962361077,0.0818299261717005,-726.145547
2023-02-17,116.325227980801,6.93506032868074,29.4183314325953,61.2429472475582,18.7288889719672,18.7288889719672,-16.4537918529741,0.128563872172663,0
2023-02-18,116.326070813491,6.99016708597549,29.3989339755063,61.2093191025167,18.7276506494922,18.7276506494922,-16.4546279626757,0.128557149185045,0
2023-02-19,116.326913591329,6.98996253976195,29.3996675681707,61.2108709740514,18.7264125093451,18.7264125093451,-16.4554640187766,0.128550427447388,0
2023-02-20,118.165564962891,8.83732814605601,29.3056357382784,61.0917040099937,18.9308970685631,18.9308970685631,-18.2011140124659,0.0355490495745773,0
2023-02-21,115.881403120522,6.3544285564208,29.2233255175564,61.0994238789787,19.2042251675657,19.2042251675657,-15.8615037640097,-0.0198993565119581,0
2023-02-22,115.653102582836,8.60735963462104,28.5886882248969,59.6954303861699,18.7616243371487,18.7616243371487,-15.6367989279122,-0.0163036549242321,12500
2023-02-23,112.709538748471,5.81345058233526,28.5987604330834,59.662089023611,18.6352387094411,18.6352387094411,-12.7088020150221,-0.000736733448579711,0
2023-02-24,114.928730830192,7.97397347243139,28.603034776475,59.7109200305131,18.6408025507723,18.6408025507723,-14.9200896505641,-0.0086411796278017,0
2023-02-25,114.927381995636,8.0198681147449,28.555555967232,59.7123803142266,18.6395775994324,18.6395775994324,-14.920809591549,-0.00657240408691584,0
2023-02-26,114.92809515714,8.05834724594094,28.5562911845443,59.6751038989296,18.6383528277247,18.6383528277247,-14.9215264545888,-0.00656870255075446,0
2023-02-27,115.324774396244,7.77020937157455,28.9403597401671,60.1464021763975,18.467803108105,18.467803108105,-15.3197969995426,-0.00497739670163647,0
2023-02-28,115.983828931911,5.82546009954935,28.8857114608532,62.6325376547568,18.6401197167516,18.6401197167516,-16.031918295564,0.0480893636530171,0
