成立以来日期,成立以来累计净值,成立以来组合收益率,成立以来上证指数收益率
2008-12-26,1.0000325294,3.2529400000092e-05,-0.000486391037880729
2008-12-29,1.0001137232,0.000113723199999916,-0.00104673942558353
2008-12-30,1.0001407875,0.000140787499999906,-0.010531634581593
2008-12-31,1.00016785165,0.000167851650000106,-0.0170663332647742
2009-01-05,1.0003030954,0.000303095400000064,0.0152757016636085
2009-01-06,1.00035898365,0.000358983649999978,0.045738032270237
2009-01-07,1.00035793025,0.000357930250000082,0.0386483835460552
2009-01-08,1.0008234231,0.000823423099999943,0.0139072207745656
2009-01-09,1.00094807335,0.000948073350000023,0.028310009776406
2009-01-12,1.00055665335,0.000556653350000103,0.0258731960749701
2009-01-13,1.00009942435,9.94243500000991e-05,0.00591010996972074
2009-01-14,0.99926121965,-0.000738780349999968,0.0412703605393814
2009-01-15,0.99850566465,-0.00149433534999999,0.0365937727911452
2009-01-16,0.9981674244,-0.00183257560000005,0.055073393222592
2009-01-19,0.99809849055,-0.00190150945000001,0.0724744239829114
2009-01-20,0.9983192396,-0.00168076039999998,0.0764880947561004
2009-01-21,0.99808135475,-0.00191864524999996,0.0715804577690042
2009-01-22,0.9983251597,-0.00167484029999998,0.0823420619201167
2009-01-23,0.9987211421,-0.00127885790000015,0.0746256651437935
2009-02-02,0.99896976085,-0.00103023915,0.0859762289201316
2009-02-03,0.9987814427,-0.00121855729999998,0.112495607095372
2009-02-04,0.9987395151,-0.00126048489999997,0.137835986350821
2009-02-05,0.998650004759414,-0.00134999524058599,0.132582855174775
2009-02-06,0.998832563707805,-0.00116743629219507,0.17750843626631
2009-02-09,0.999152432108733,-0.000847567891267276,0.200977748554728
2009-02-10,0.999547578981095,-0.00045242101890508,0.222812441461679
2009-02-11,0.999671925913472,-0.00032807408652813,0.220469019158193
2009-02-12,0.99986795773497,-0.000132042265030052,0.213597463640786
2009-02-13,0.999673845702013,-0.000326154297986991,0.25284398400146
2009-02-16,0.999794057119057,-0.000205942880943,0.289873943206154
2009-02-17,0.999671733509886,-0.000328266490113971,0.252114667361974
2009-02-18,0.999966546421776,-3.34535782240408e-05,0.192960124032414
2009-02-19,1.00128737945112,0.0012873794511199,0.202279289944662
2009-02-20,1.00144025837873,0.00144025837873007,0.220824230371207
2009-02-23,1.00200173721433,0.00200173721432995,0.244738366427898
2009-02-24,1.0020064669297,0.00200646692969997,0.187989326388901
2009-02-25,1.00187935826508,0.00187935826508001,0.191185147636685
2009-02-26,1.00164975175548,0.0016497517554801,0.145124834068319
2009-02-27,1.00164251534693,0.00164251534692994,0.124395722566008
2009-03-02,1.00206209842412,0.00206209842411997,0.130115270897136
2009-03-03,1.00245097272971,0.00245097272970995,0.118230270797266
2009-03-04,1.00274994074457,0.00274994074456991,0.186614367483815
2009-03-05,1.00300331985276,0.00300331985275992,0.199013830024417
2009-03-06,1.00283625155418,0.00283625155417999,0.183861210665622
2009-03-09,1.00238798130468,0.0023879813046801,0.143773627888723
2009-03-10,1.00293721774069,0.00293721774068989,0.165269844457437
2009-03-11,1.00303385228564,0.0030338522856399,0.154719855497056
2009-03-12,1.00288107284525,0.00288107284524997,0.151942945953373
2009-03-13,1.00270449282393,0.00270449282392993,0.149225958058086
2009-03-16,1.00284879881139,0.00284879881139011,0.162421136902613
2009-03-17,1.00360757404548,0.00360757404547996,0.197529284681274
2009-03-18,1.00389693929505,0.00389693929505008,0.200443852065867
2009-03-19,1.00473672260998,0.00473672260997993,0.223135262594479
2009-03-20,1.00475207232373,0.00475207232372998,0.231409848419824
2009-03-23,1.00510886752245,0.00510886752244999,0.255374728935517
2009-03-24,1.00531537620765,0.0053153762076501,0.262360189568344
2009-03-25,1.00367518278181,0.00367518278181,0.237060837747832
2009-03-26,1.00540140307145,0.00540140307144998,0.27492970003007
2009-03-27,1.00565438707896,0.00565438707896004,0.281803954720828
2009-03-30,1.00587222186696,0.00587222186696001,0.272951745798333
